Ticker,Name
ADS.DE,Adidas
AIR.PA.DE,Airbus
ALV.DE,Allianz
BAS.DE,BASF
BAYN.DE,Bayer
BEI.DE,Beiersdorf
BMW.DE,BMW
BNR.DE,Brenntag
CBK.DE,Commerzbank
CON.DE,Continental
DTG.DE,Daimler Truck
DBK.DE,Deutsche Bank
DB1.DE,Deutsche Börse
DHL.DE,Deutsche Post
DTE.DE,Deutsche Telekom
EOAN.DE,E.ON
FRE.DE,Fresenius
FME.DE,Fresenius Medical Care
G1A.DE,GEA Group
HNR1.DE,Hannover Re
HEI.DE,Heidelberg Materials
HEN3.DE,Henkel
IFX.DE,Infineon Technologies
MBG.DE,Mercedes-Benz Group
MRK.DE,Merck
MTX.DE,MTU Aero Engines
MUV2.DE,Munich Re
PAH3.DE,Porsche SE
QIA.DE,Qiagen
RHM.DE,Rheinmetall
RWE.DE,RWE
SAP.DE,SAP
G24.DE,Scout24
SIE.DE,Siemens
ENR.DE,Siemens Energy
SHL.DE,Siemens Healthineers
SY1.DE,Symrise
VOW3.DE,Volkswagen Group
VNA.DE,Vonovia
ZAL.DE,Zalando
AIXA.DE,Aixtron
AT1.DE,Aroundtown
NDA.DE,Aurubis
BC8.DE,Bechtle
BFSA.DE,Befesa
GBF.DE,Bilfinger
AFX.DE,Carl Zeiss Meditec
EVD.DE,CTS Eventim
DHER.DE,Delivery Hero
LHA.DE,Lufthansa
ECV.DE,Encavis
EVK.DE,Evonik
EVT.DE,Evotec
FRA.DE,Fraport
FNTN.DE,Freenet
FRE.DE,Fresenius Medical Care
FPE3.DE,Fuchs Petrolub
G1A.DE,GEA Group
GXI.DE,Gerresheimer
HLE.DE,Hella
HFG.DE,HelloFresh
HAG.DE,Hensoldt
HOT.DE,Hochtief
BOSS.DE,Hugo Boss
JEN.DE,Jenoptik
JUN3.DE,Jungheinrich
SDF.DE,K+S
KGX.DE,KION Group
KBX.DE,Knorr-Bremse
KRN.DE,Krones
LXS.DE,Lanxess
LEG.DE,LEG Immobilien
NEM.DE,Nemetschek
NDX1.DE,Nordex
PUM.DE,Puma
RAA.DE,Rational
RDC.DE,Redcare Pharmacy
RRTL.DE,RTL Group
G24.DE,Scout24
WAF.DE,Siltronic
STM.DE,Stabilus
SAX.DE,Ströer
TEG.DE,TAG Tegernsee Immobilien und Beteiligung
TLX.DE,Talanx
TMV.DE,TeamViewe
TKA.DE,ThyssenKrupp
8TRA.DE,Traton
TUI1.DE,TUI
UTDI.DE,United Internet
WCH.DE,Wacker Chemie
